,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee
30,b9b506d1-8139-4bd8-90d5-a33fbcd3f1e3,"November 25, 2022",2022-11-26 19:15:53 UTC,Mauro Munguía,SRID=4326;POINT(-98.1993785128 19.0449154992),19.0449154992,-98.1993785128,Efectivo,yes,Aceite ,más de 10 cuadras,Bicicleta,Pollo frito ,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,Envíos de dinero ,Female,dulceria,Dulceria lili,1 Photo,2.0,2.0,5.0,0.0,30.0,200.0,40.0
31,76961734-c5c8-40dc-a9c5-78fd1c71dfce,"November 25, 2022",2022-11-26 19:15:53 UTC,Mauro Munguía,SRID=4326;POINT(-98.1999970973 19.0460329699),19.0460329699,-98.1999970973,Efectivo,yes,Aceite ,más de 10 cuadras,Automóvil,Pollo frito ,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,Tienda de conveniencia (e.g. OXXO),no,no,Envíos de dinero ,Male,Cafeteria,Tortas Ana,1 Photo,1.0,6.0,15.0,0.0,25.0,50.0,30.0
32,c392bf61-c741-46ca-9bdc-ca444dc44ca5,"November 25, 2022",2022-11-25 23:44:12 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2210870554 19.0116707934),19.0116707934,-98.2210870554,Efectivo,yes,Aceite ,0 a 3 cuadras,Automóvil,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,Envíos de dinero ,Male,Grocery store (aka. nanostore),La Divina Providencia ,1 Photo,1.0,1.0,3.0,0.0,30.0,20.0,30.0
33,91f32bfc-8a88-4c0b-91dc-4f4916101986,"November 25, 2022",2022-11-25 23:44:11 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2210469479 19.0116381992),19.0116381992,-98.2210469479,Efectivo,yes,Aceite ,7 a 10 cuadras,Automóvil,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,Envíos de dinero ,Female,Dairy products,Chatita ,1 Photo,1.0,3.0,8.0,2.0,30.0,15.0,19.0
34,67aa9877-bf5a-4d75-91e4-702f0b0c0d7a,"November 25, 2022",2022-11-25 23:44:10 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2210490592 19.0116294752),19.0116294752,-98.2210490592,Efectivo,no,Aceite ,0 a 3 cuadras,A pie,Pollo frito ,CFE,yes,Sistema de agua,yes,No lo hago,no,No lo hago,no,No lo hago,no,no,Envíos de dinero ,Female,Grocery store (aka. nanostore),La Chiquita ,1 Photo,1.0,2.0,3.0,0.0,20.0,10.0,24.0
35,9871abb4-9809-4653-8c49-76dcadfa5d6a,"November 25, 2022",2022-11-25 23:44:10 UTC,Saúl Cuervo,SRID=4326;POINT(-98.221072 19.011644),19.011644,-98.221072,Efectivo,yes,Pollo enchilado ,4 a 6 cuadras,Motocicleta,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,yes,No lo hago,yes,yes,Envíos de dinero ,Male,Grocery store (aka. nanostore),La Chiquita ,1 Photo,2.0,0.0,1.0,0.0,15.0,20.0,26.0
36,dea6968c-24aa-482f-b8f7-78a9b2188070,"November 24, 2022",2022-11-25 23:44:10 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2197872731 19.0100632911),19.0100632911,-98.2197872731,Efectivo,yes,Pollo enchilado ,0 a 3 cuadras,Bicicleta,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,yes,yes,Envíos de dinero ,Male,Grocery store (aka. nanostore),Miscelánea Margarita ,1 Photo,2.0,0.0,0.0,0.0,20.0,10.0,16.0
37,1975d580-24e1-463e-96cc-4aab1c9a40a8,"November 24, 2022",2022-11-25 23:44:09 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2197864233 19.0100662185),19.0100662185,-98.2197864233,Efectivo,yes,Pollo enchilado ,0 a 3 cuadras,A pie,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),no,yes,Recargas telefónicas ,Female,Grocery store (aka. nanostore),Miscelánea La Guadalupana ,1 Photo,2.0,0.0,0.0,0.0,10.0,5.0,60.0
38,8594b84e-30a0-4698-8e90-7c3fbb7a7b7c,"November 24, 2022",2022-11-25 23:44:09 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2194485039 19.010710981),19.010710981,-98.2194485039,Efectivo,no,Pollo enchilado ,4 a 6 cuadras,Automóvil,Pollo frito ,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,Pagos,Male,Cafeteria,Gladiatore ,1 Photo,1.0,3.0,1.0,0.0,15.0,7.0,38.0
39,839603f1-599a-4908-ad26-f4357c23a1f8,"November 24, 2022",2022-11-25 23:44:08 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2194346992 19.010693258),19.010693258,-98.2194346992,Efectivo,yes,"Papel América, Papel Bond",4 a 6 cuadras,Automóvil,Foami ,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,no,no,Pagos,Female,Grocery store (aka. nanostore),Miscelánea La Guadalupana ,1 Photo,1.0,2.0,3.0,0.0,25.0,15.0,42.0
40,fd5c85f2-f156-4d66-b337-1d3bfdcb9019,"November 24, 2022",2022-11-25 23:44:07 UTC,Saúl Cuervo,SRID=4326;POINT(-98.2184096353 19.0126305197),19.0126305197,-98.2184096353,Efectivo,yes,"Papel América, Papel Bond",0 a 3 cuadras,Bicicleta,Foami ,CFE,no,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,Banco,no,no,Pagos,Male,Grocery store (aka. nanostore),Miscelánea Yoyis,1 Photo,1.0,2.0,3.0,2.0,20.0,10.0,23.0
41,c431c556-865b-4c6c-ab57-b423f0139206,"November 25, 2022",2022-11-25 23:42:42 UTC,Oscar Morales,SRID=4326;POINT(-98.2609467333 19.022339919),19.022339919,-98.2609467333,Tarjeta de débito y/o crédito,yes,"Papel América, Papel Bond",7 a 10 cuadras,Transporte público,Foami ,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,No lo hago,no,no,Pagos,Male,Micro-restaurant (aka. fondita),El sazón de la jarochita,1 Photo,3.0,1.0,2.0,0.0,20.0,20.0,20.0
42,c0861385-9d97-4821-a8fb-fa10076fb6a9,"November 25, 2022",2022-11-25 22:57:47 UTC,Oscar Morales,SRID=4326;POINT(-98.260543889 19.0219640927),19.0219640927,-98.260543889,Efectivo,yes,"Papel América, Papel Bond",0 a 3 cuadras,A pie,Foami ,Tiendita,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,no,Pagos,Female,Grocery store (aka. nanostore),Tortillería Rosales,1 Photo,2.1,0.0,0.0,0.0,10.0,10.0,40.0
